Business Name,Type,Location,Website,Contact Email,Phone,Email Sent,Response,Notes
Archer Hotel,Hotel,Downtown Napa,https://archerhotel.com/napa,napa@archerhotel.com,707-690-9800,No,Pending,Boutique with rooftop bar - verified email
Napa Valley Lodge,Hotel,Yountville,https://napavalleylodge.com,reservations@napavalleylodge.com,707-944-2468,No,Pending,Family-owned boutique - verified email
Poetry Inn,Hotel,Napa,https://poetryinn.com,visitus@poetryinn.com,707-944-0646,No,Pending,Luxury 5-star - verified email
Calistoga Motor Lodge,Hotel,Calistoga,https://calistogamotorlodgeandspa.com,info@calistogamotorlodge.com,707-737-0000,No,Pending,Retro boutique with spa - verified email
Hotel Yountville,Hotel,Yountville,https://hotelyountville.com,yviconcierge@hotelyountville.com,707-967-7900,No,Pending,Luxury boutique - 80 rooms
North Block Hotel,Hotel,Yountville,https://northblockyountville.com,guestservices@northblockhotel.com,707-944-8080,No,Pending,Modern boutique - 20 rooms - fast decisions
The Ink House,Hotel,St. Helena,https://inkhousenapavalley.com,concierge@inkhousenapavalley.com,707-331-4382,No,Pending,Luxury inn - historic - Elvis stayed here
Harvest Inn,Hotel,St. Helena,https://harvestinn.com,info@harvestinn.com,,No,Pending,Boutique hotel - 81 rooms - good target
Meadowood Napa Valley,Hotel,St. Helena,https://meadowood.com,reservations@meadowood.com,,No,Pending,Luxury resort - might have budget
The Bergson,Hotel,Napa,https://thebergson.com,stay@thebergson.com,,No,Pending,New boutique hotel - modern
Villagio Inn & Spa,Hotel,Yountville,https://theestateyountville.com,reservations@estateyountville.com,,No,Pending,Tuscan style - 112 rooms
Mount View Hotel,Hotel,Calistoga,https://mountviewhotel.com,info@mountviewhotel.com,707-942-6877,No,Pending,Historic boutique with spa
River Terrace Inn,Hotel,Napa,https://riverterraceinn.com,info@riverterraceinn.com,707-927-2217,No,Pending,Noble House hotel - modern
Castello di Amorosa,Winery,Calistoga,https://castellodiamorosa.com,hospitality@castellodiamorosa.com,707-967-6272,No,Pending,Castle winery - HIGH volume visitors - verified
Rombauer Vineyards,Winery,St. Helena,https://rombauer.com,sharejoy@rombauer.com,707-963-5170,No,Pending,Famous Chardonnay - high traffic - verified
Mumm Napa,Winery,Rutherford,https://mummnapa.com,mumm_info@mummnapa.com,800-686-6272,No,Pending,Major sparkling wine destination - verified
Stag's Leap Wine Cellars,Winery,Napa,https://stagsleapwinecellars.com,service@stagsleapwinecellars.com,707-261-6410,No,Pending,Famous - Judgment of Paris - verified
Trefethen Family Vineyards,Winery,Napa,https://trefethen.com,hello@trefethen.com,,No,Pending,Third generation - historic charm
V. Sattui Winery,Winery,St. Helena,https://vsattui.com,info@vsattui.com,,No,Pending,No appointment needed - very busy
Cakebread Cellars,Winery,Rutherford,https://cakebread.com,info@cakebread.com,,No,Pending,Family owned - popular
Duckhorn Vineyards,Winery,St. Helena,https://duckhorn.com,info@duckhorn.com,,No,Pending,Well known - merlot focused
Frank Family Vineyards,Winery,Calistoga,https://frankfamilyvineyards.com,info@frankfamilyvineyards.com,,No,Pending,Sparkling + still wines
Alpha Omega,Winery,Rutherford,https://aowinery.com,info@aowinery.com,,No,Pending,Modern - great hospitality
Chateau Montelena,Winery,Calistoga,https://montelena.com,info@montelena.com,,No,Pending,Famous - Judgment of Paris
Peju Province Winery,Winery,Rutherford,https://peju.com,info@peju.com,,No,Pending,Family owned - landmark tower
Frog's Leap Winery,Winery,Rutherford,https://frogsleap.com,info@frogsleap.com,,No,Pending,Family owned - organic - fun vibe
Baldacci Family Vineyards,Winery,Napa,https://baldaccivineyards.com,jessica@baldaccivineyards.com,707-944-9261,No,Pending,Known for hospitality - Director contact
Nichelini Family Winery,Winery,St. Helena,https://nicheliniwinery.com,mail@nicheliniwinery.com,707-963-0717,No,Pending,Oldest family winery - est 1890
Failla Wines,Winery,St. Helena,https://faillawines.com,benjamin@faillawines.com,707-963-0530,No,Pending,Small-lot wines - boutique
Amulet Estate,Winery,St. Helena,https://amuletestate.com,alanna@amuletestate.com,707-200-4410,No,Pending,Boutique - family-owned
